road_key,road_name,measurements_count,stations_count,date_min,date_max,traffic_factor_latest,traffic_factor_max,traffic_factor_mean,vehicle_count_max,vehicle_count_mean,source_latest
cell_u3qcjf,cell_u3qcjf,1,1,2026-06-01 18:22:55.340953,2026-06-01 18:22:55.340953,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjg,cell_u3qcjg,1,1,2026-06-01 18:23:06.396311,2026-06-01 18:23:06.396311,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcjh,cell_u3qcjh,1,1,2026-06-01 18:23:15.770451,2026-06-01 18:23:15.770451,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcjj,cell_u3qcjj,1,1,2026-06-01 18:22:58.836646,2026-06-01 18:22:58.836646,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcjk,cell_u3qcjk,1,1,2026-06-01 18:23:17.600461,2026-06-01 18:23:17.600461,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcjm,cell_u3qcjm,1,1,2026-06-01 18:22:52.119188,2026-06-01 18:22:52.119188,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcjn,cell_u3qcjn,1,1,2026-06-01 18:23:09.199865,2026-06-01 18:23:09.199865,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjp,cell_u3qcjp,1,1,2026-06-01 18:23:32.716690,2026-06-01 18:23:32.716690,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjq,cell_u3qcjq,1,1,2026-06-01 18:23:07.322026,2026-06-01 18:23:07.322026,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcjr,cell_u3qcjr,1,1,2026-06-01 18:23:28.385015,2026-06-01 18:23:28.385015,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjs,cell_u3qcjs,1,1,2026-06-01 18:23:02.073142,2026-06-01 18:23:02.073142,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjt,cell_u3qcjt,1,1,2026-06-01 18:23:09.609154,2026-06-01 18:23:09.609154,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qcju,cell_u3qcju,1,1,2026-06-01 18:22:50.623737,2026-06-01 18:22:50.623737,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcjv,cell_u3qcjv,1,1,2026-06-01 18:23:05.523218,2026-06-01 18:23:05.523218,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcjw,cell_u3qcjw,1,1,2026-06-01 18:23:03.535974,2026-06-01 18:23:03.535974,1.5,1.5,1.5,0,0.0,tomtom_real_time
cell_u3qcjx,cell_u3qcjx,1,1,2026-06-01 18:22:53.665100,2026-06-01 18:22:53.665100,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qcjy,cell_u3qcjy,1,1,2026-06-01 18:23:00.055585,2026-06-01 18:23:00.055585,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qcjz,cell_u3qcjz,1,1,2026-06-01 18:23:01.972376,2026-06-01 18:23:01.972376,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck0,cell_u3qck0,1,1,2026-06-01 18:22:50.033644,2026-06-01 18:22:50.033644,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck1,cell_u3qck1,1,1,2026-06-01 18:22:55.791140,2026-06-01 18:22:55.791140,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck2,cell_u3qck2,1,1,2026-06-01 18:23:20.792327,2026-06-01 18:23:20.792327,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck3,cell_u3qck3,1,1,2026-06-01 18:23:10.921035,2026-06-01 18:23:10.921035,1.15,1.15,1.15,0,0.0,tomtom_real_time
cell_u3qck4,cell_u3qck4,1,1,2026-06-01 18:23:03.974315,2026-06-01 18:23:03.974315,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck5,cell_u3qck5,1,1,2026-06-01 18:23:03.642249,2026-06-01 18:23:03.642249,1.3,1.3,1.3,0,0.0,tomtom_real_time
cell_u3qck6,cell_u3qck6,1,1,2026-06-01 18:23:27.842792,2026-06-01 18:23:27.842792,1.0,1.0,1.0,0,0.0,tomtom_real_time
cell_u3qck7,cell_u3qck7,1,1,2026-06-01 18:22:59.700709,2026-06-01 18:22:59.700709,1.5,1.5,1.5,0,0.0,tomtom_real_time
